Date,ca,fr,ge,it,jp,uk,us
2004/7/12,-0.545398,-0.219479,-0.692964,-0.527829,1.218457,-0.185963,0.098248
2004/7/13,-0.174332,-0.623860,-0.461367,-0.572518,-0.326781,-0.421330,0.074891
2004/7/14,0.667560,0.321596,0.414920,0.062949,-1.274197,0.296184,-0.337166
2004/7/15,-1.028318,-1.135125,-1.450021,-0.848181,-0.164099,-0.879253,-0.417950
2004/7/16,0.357474,0.630298,0.602351,0.572298,0.688005,1.113090,-0.462139
2004/7/19,1.128843,-0.647501,-1.039614,-0.536823,0.382735,-0.485582,-0.044587
2004/7/20,-0.272269,0.069358,0.333601,-0.169742,-1.097445,-0.527284,0.700131
2004/7/21,-0.409040,-0.383799,-0.218849,-0.877286,-0.384374,-0.148893,-1.382844
2004/7/22,0.207001,-1.325674,-1.581596,-0.850424,-0.486728,-0.977886,0.281023
2004/7/23,-0.753321,-1.384495,-1.384013,-1.256995,-1.565818,-0.494206,-0.999196
2004/7/26,-1.371445,-0.718697,-0.866751,-0.568213,-0.324220,-0.509552,-0.245897
2004/7/27,-0.909006,-0.070885,0.881695,0.184674,-1.776700,-0.020851,0.966803
2004/7/28,1.081647,0.147224,-0.403501,-0.331257,0.606237,0.571680,0.039622
2004/7/29,1.569508,2.062152,2.324884,1.398920,-0.888362,1.073019,0.477641
2004/7/30,-0.160930,-0.166555,-0.099594,0.265144,2.051847,-0.031419,0.135566
2004/8/2,-0.262961,-0.615146,-0.826187,-0.375807,0.312352,0.497379,0.456678
2004/8/3,1.160390,0.937294,0.508642,0.549291,-0.507764,0.129624,-0.613416
2004/8/4,-0.780363,-1.181643,-1.430505,-0.906965,-1.669609,-0.502772,-0.110106
2004/8/5,-1.514121,0.302709,0.168073,-0.566208,-0.012383,-0.012476,-1.612829
2004/8/6,-0.232490,-0.797600,-0.932965,0.063616,0.414868,-0.534440,-1.552518
2004/8/9,-0.437425,-0.934962,-1.063332,-0.934250,-0.959033,-0.812223,0.116351
2004/8/10,0.790525,1.506668,1.291429,1.062652,-0.083136,0.839794,1.283678
2004/8/11,-1.725702,-1.691543,-1.980320,-1.893296,1.182707,-1.539441,-0.301112
2004/8/12,-0.871531,-0.032384,-0.362524,-0.012104,-0.500794,-0.014757,-1.200736
2004/8/13,1.859071,0.792655,0.710798,0.797072,-1.548844,0.520117,0.137039
2004/8/16,1.232495,0.781301,1.295330,0.857571,-1.065045,0.979129,1.334322
2004/8/17,-0.261714,0.361958,0.112714,-0.147128,1.173509,-0.483613,0.261206
2004/8/18,-0.213045,-0.088266,0.247182,-0.167076,0.855068,-0.334655,1.255731
2004/8/19,1.898230,0.672542,0.434201,0.612973,1.349259,0.695117,-0.382857
2004/8/20,0.416259,-0.454653,-0.550155,-0.586492,0.239048,-0.461071,0.696334
2004/8/23,-1.030095,0.479769,0.532089,0.110521,0.189433,0.472137,-0.260545
2004/8/24,0.141594,-0.589642,-0.721993,-0.615907,0.271281,-0.956075,0.057774
2004/8/25,0.844217,-0.168992,0.293508,0.151207,0.496233,0.317334,0.786504
2004/8/26,-0.967427,0.924962,1.057543,0.355996,0.701649,0.667048,0.024542
2004/8/27,-0.077538,0.100806,0.021524,0.196308,0.686166,0.793126,0.264365
2004/8/30,-0.943805,-0.228122,-0.251340,-0.201759,-0.381003,-0.027886,-0.790636
2004/8/31,0.859406,-0.247086,-0.447308,0.665969,-0.435946,-0.372556,0.485203
2004/9/1,1.241776,0.586344,0.932669,1.050950,0.629205,0.601642,0.188099
2004/9/2,0.409407,0.366046,0.221688,0.730186,0.248947,0.131741,1.087639
2004/9/3,-0.936166,-0.049135,-0.003274,0.237582,-2.025017,-0.047805,-0.427465
2004/9/6,0.269068,0.389330,0.720593,0.154038,1.885937,0.483697,0.000000
2004/9/7,1.172666,0.108535,0.107503,-0.091132,0.794409,-0.324895,0.675741
